time,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,A7,B7,C7,D7,A8,B8,C8,D8,A9,B9,C9,D9,A10,B10,C10,D10,Aaverage,Baverage,Caverage,Daverage,Anormalised,Bnormalised,Cnormalised,Dnormalised,OD_A,OD_B,OD_C,OD_D,DilutiontimeforA,DilutiontimeforB,DilutiontimeforC,DilutiontimeforD,ErrorA,ErrorB,ErrorC,ErrorD
3.12,37,7,38,19,67,22,68,36,111,28,106,44,140,49,133,82,184,52,170,91,217,70,193,128,260,79,229,145,294,95,265,175,331,111,298,199,366,121,331,210,36,12,33,21,2,0,5,0,0.0008,0.0000,0.0025,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.20,37,13,34,21,73,29,65,46,115,31,102,56,153,48,134,77,188,59,165,101,228,73,195,123,263,85,227,147,303,99,262,171,339,114,293,198,376,127,327,221,37,12,32,22,3,0,4,0,0.0012,0.0000,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.29,54,15,38,15,86,40,61,48,121,53,93,71,166,68,127,96,203,81,157,121,241,95,191,145,272,110,222,170,310,126,255,193,356,128,295,201,390,143,325,229,39,14,32,22,5,1,4,0,0.0020,0.0007,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.37,35,26,30,37,88,38,65,58,124,51,95,79,164,66,130,101,203,80,164,122,232,101,192,150,267,116,224,174,306,132,259,196,356,136,296,203,392,150,327,228,39,15,32,22,5,2,4,0,0.0020,0.0014,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.45,40,14,30,26,77,28,65,50,117,42,94,76,163,52,129,94,194,71,159,125,236,83,191,145,277,104,226,171,316,119,259,196,367,122,295,211,403,139,324,234,40,13,32,23,6,0,4,0,0.0024,0.0000,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.54,40,16,33,25,89,22,72,36,128,37,105,61,166,49,137,85,206,61,171,107,245,75,204,123,271,103,233,168,309,115,267,192,347,129,301,217,370,155,329,259,37,15,32,25,3,2,4,2,0.0012,0.0014,0.0020,0.0020,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.62,39,15,31,27,74,37,62,55,128,42,103,65,156,69,128,102,200,81,159,122,235,96,189,150,273,112,223,174,321,114,259,181,358,122,290,206,395,139,323,233,39,13,32,23,5,0,4,0,0.0020,0.0000,0.0020,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.70,40,12,34,21,72,29,61,49,119,32,99,54,150,55,129,90,188,65,163,110,223,78,196,135,256,116,225,181,295,129,260,205,341,137,297,223,380,149,329,240,38,14,32,24,4,1,4,1,0.0016,0.0007,0.0020,0.0010,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.79,40,18,32,25,79,34,65,71,120,47,98,95,157,63,132,123,205,67,174,135,244,79,206,160,283,97,239,186,330,103,278,201,367,117,308,225,405,133,341,263,40,13,34,26,6,0,6,3,0.0024,0.0000,0.0030,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.87,45,10,35,23,81,20,67,48,120,36,104,74,161,46,138,96,200,61,171,137,245,69,208,152,281,85,238,177,321,97,274,202,371,98,315,206,403,115,345,233,40,11,34,23,6,0,6,0,0.0024,0.0000,0.0030,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
3.95,31,28,29,36,76,38,68,50,118,53,102,76,155,68,136,98,197,83,170,121,229,96,202,144,260,128,229,182,299,136,268,206,346,136,307,222,380,156,339,251,38,15,33,25,4,2,5,2,0.0016,0.0014,0.0025,0.0020,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.04,40,16,33,25,80,33,67,61,115,47,100,85,157,64,135,110,195,78,170,132,234,107,197,171,275,119,233,190,313,132,266,212,336,154,294,252,379,171,332,276,37,17,33,27,3,4,5,4,0.0012,0.0028,0.0025,0.0040,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.12,35,18,28,31,80,33,65,57,117,54,97,89,166,65,133,115,209,81,166,135,245,98,197,161,289,115,232,187,340,123,272,201,380,139,306,227,417,178,336,267,41,17,33,26,7,4,5,3,0.0028,0.0028,0.0025,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.20,49,8,39,17,89,30,67,52,136,31,108,60,178,56,137,104,232,61,174,115,275,78,205,139,320,96,241,161,356,112,277,185,400,136,307,210,446,153,342,232,44,15,34,23,10,2,6,0,0.0040,0.0014,0.0030,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.29,42,13,34,24,70,37,63,71,126,47,104,80,163,64,135,107,209,81,171,132,260,84,214,145,299,101,245,170,341,116,280,205,385,131,316,227,440,140,356,239,44,14,35,23,10,1,7,0,0.0040,0.0007,0.0035,0.0000,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.37,43,16,33,30,91,28,70,51,129,42,103,81,174,57,139,107,227,63,181,120,272,77,214,148,317,94,248,190,360,99,284,212,403,114,320,232,445,132,355,258,44,13,35,25,10,0,7,2,0.0040,0.0000,0.0035,0.0020,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.45,45,17,39,25,110,17,81,43,146,45,110,83,193,62,148,106,234,70,190,121,274,87,227,149,319,104,264,175,365,121,302,196,430,130,342,218,471,147,377,243,47,14,37,24,13,1,9,1,0.0052,0.0007,0.0045,0.0010,0,0,0,0,-1.59,-1.60,-1.60,-1.60
4.54,42,15,35,27,80,37,68,57,120,55,105,85,170,74,146,112,215,86,187,123,258,101,220,151,295,121,250,183,335,149,279,228,378,166,316,252,421,181,355,276,42,18,35,27,8,5,7,4,0.0032,0.0035,0.0035,0.0040,0,0,0,0,-1.60,-1.60,-1.60,-1.60
4.62,45,19,36,29,94,35,75,50,138,50,110,75,185,68,146,119,229,80,185,142,286,85,223,154,334,102,258,182,372,126,290,213,421,143,328,243,468,156,366,269,46,15,36,26,12,2,8,3,0.0048,0.0014,0.0040,0.0030,0,0,0,0,-1.60,-1.60,-1.60,-1.60
